epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.37306,1.56186,0,1,1.62402,0,0,0
2,9.16744,1.51703,0,1,1.60059,1.23763e-05,1.23763e-05,1.23763e-05
3,9.63578,1.50578,0,1,1.56836,2.4505e-05,2.4505e-05,2.4505e-05
4,10.0827,1.48092,0,1,1.55957,3.63862e-05,3.63862e-05,3.63862e-05
5,13.1922,1.47488,0,1,1.5127,4.802e-05,4.802e-05,4.802e-05
6,13.5642,1.39447,0,1,1.4541,5.94062e-05,5.94062e-05,5.94062e-05
7,13.9544,1.3027,0,1,1.37695,7.0545e-05,7.0545e-05,7.0545e-05
8,14.383,1.21736,0.22222,1,1.3125,8.14362e-05,8.14362e-05,8.14362e-05
9,18.02,0.95223,0.22222,1,1.23828,9.208e-05,9.208e-05,9.208e-05
10,18.3915,0.9365,0.22222,1,1.17773,0.000102476,0.000102476,0.000102476
11,18.8016,0.73181,0.33333,1,1.13379,0.000112625,0.000112625,0.000112625
12,19.2561,0.60206,0.33333,1,1.09668,0.000122526,0.000122526,0.000122526
13,23.0246,0.54672,0.66667,1,1.08008,0.00013218,0.00013218,0.00013218
14,23.4157,0.40474,0.66667,1,1.06445,0.000141586,0.000141586,0.000141586
15,23.8006,0.28195,0.66667,1,1.05469,0.000150745,0.000150745,0.000150745
16,24.3358,0.2299,0.66667,1,1.05273,0.000159656,0.000159656,0.000159656
17,28.6268,0.17886,0.66667,1,1.06543,0.00016832,0.00016832,0.00016832
18,29.0444,0.16303,0.66667,1,1.06543,0.000176736,0.000176736,0.000176736
19,29.4552,0.19175,0.66667,1,1.06445,0.000184905,0.000184905,0.000184905
20,29.9212,0.11527,0.66667,1,1.06445,0.000192826,0.000192826,0.000192826
21,33.7679,0.13565,0.66667,1,1.06152,0.0002005,0.0002005,0.0002005
22,34.1837,0.04576,0.66667,1,1.05566,0.000207926,0.000207926,0.000207926
23,34.5996,0.04434,0.66667,1,1.06055,0.000215105,0.000215105,0.000215105
24,35.0443,0.02428,0.66667,1,1.06152,0.000222036,0.000222036,0.000222036
25,38.7604,0.01999,0.66667,1,1.0293,0.00022872,0.00022872,0.00022872
26,39.1382,0.01961,0.66667,1,0.99561,0.000235156,0.000235156,0.000235156
27,39.509,0.02101,0.66667,1,0.95654,0.000241345,0.000241345,0.000241345
28,39.8864,0.00978,0.66667,1,0.95361,0.000247286,0.000247286,0.000247286
29,43.3867,0.0379,0.77778,1,0.90088,0.00025298,0.00025298,0.00025298
30,43.8096,0.00886,0.77778,1,0.85791,0.000258426,0.000258426,0.000258426
31,44.166,0.00396,0.77778,1,0.82031,0.000263625,0.000263625,0.000263625
32,44.5228,0.00558,0.77778,1,0.77393,0.000268576,0.000268576,0.000268576
33,48.1767,0.04108,0.77778,1,0.74561,0.00027328,0.00027328,0.00027328
34,48.5305,0.00339,0.77778,1,0.71582,0.000277736,0.000277736,0.000277736
35,48.8896,0.00318,0.77778,1,0.6792,0.000281945,0.000281945,0.000281945
36,49.2737,0.00278,0.77778,1,0.64209,0.000285906,0.000285906,0.000285906
37,53.0139,0.00311,0.77778,1,0.61182,0.00028962,0.00028962,0.00028962
38,53.3664,0.0028,0.77778,1,0.58789,0.000293086,0.000293086,0.000293086
39,53.7271,0.00147,0.77778,1,0.57178,0.000296305,0.000296305,0.000296305
40,54.106,0.00353,0.77778,1,0.53857,0.000299276,0.000299276,0.000299276
41,57.6058,0.00317,0.77778,1,0.51611,0.000302,0.000302,0.000302
42,57.9563,0.00336,0.77778,1,0.4939,0.000304476,0.000304476,0.000304476
43,58.3102,0.00384,0.77778,1,0.47974,0.000306705,0.000306705,0.000306705
44,58.6903,0.00363,0.77778,1,0.45972,0.000308686,0.000308686,0.000308686
45,62.4252,0.00377,0.77778,1,0.44238,0.00031042,0.00031042,0.00031042
46,62.8264,0.00258,0.77778,1,0.42627,0.000311906,0.000311906,0.000311906
47,63.1869,0.00232,0.77778,1,0.42432,0.000313145,0.000313145,0.000313145
48,63.5595,0.00087,0.77778,1,0.40747,0.000314136,0.000314136,0.000314136
49,67.0144,0.02672,0.77778,1,0.39575,0.00031488,0.00031488,0.00031488
50,67.3847,0.0048,0.77778,1,0.37573,0.000315376,0.000315376,0.000315376
51,67.7436,0.00118,0.77778,1,0.36792,0.000315625,0.000315625,0.000315625
52,68.1272,0.00221,0.77778,1,0.36279,0.000315626,0.000315626,0.000315626
53,72.0038,0.0008,0.77778,1,0.35107,0.00031538,0.00031538,0.00031538
54,72.351,0.00114,0.77778,1,0.34497,0.000314886,0.000314886,0.000314886
55,72.6997,0.00143,0.77778,1,0.33081,0.000314145,0.000314145,0.000314145
56,73.0895,0.0014,0.77778,1,0.33618,0.000313156,0.000313156,0.000313156
57,76.394,0.00112,0.77778,1,0.33813,0.00031192,0.00031192,0.00031192
58,76.7471,0.00087,0.88889,1,0.31885,0.000310436,0.000310436,0.000310436
59,77.2045,0.00203,0.88889,1,0.31445,0.000308705,0.000308705,0.000308705
60,77.5589,0.00309,0.88889,1,0.29858,0.000306726,0.000306726,0.000306726
61,81.3456,0.00071,0.88889,1,0.29224,0.0003045,0.0003045,0.0003045
62,81.6999,0.01781,0.88889,1,0.28662,0.000302026,0.000302026,0.000302026
63,82.055,0.00041,0.88889,1,0.27295,0.000299305,0.000299305,0.000299305
64,82.4581,0.00065,0.88889,1,0.27246,0.000296336,0.000296336,0.000296336
65,86.1454,0.00164,0.88889,1,0.26709,0.00029312,0.00029312,0.00029312
66,86.5002,0.00051,0.88889,1,0.25952,0.000289656,0.000289656,0.000289656
67,86.8807,0.00061,0.88889,1,0.25317,0.000285945,0.000285945,0.000285945
68,87.2695,0.00087,0.88889,1,0.24792,0.000281986,0.000281986,0.000281986
69,90.8017,0.00046,0.88889,1,0.23987,0.00027778,0.00027778,0.00027778
70,91.1742,0.00043,0.88889,1,0.23462,0.000273326,0.000273326,0.000273326
